district,crime_count_2024,murder_2024,robbery_2024,sexual_violence_2024,theft_2024,violence_2024,streetlights_2023,population_2024,crime_per_10k,murder_per_10k,robbery_per_10k,sexual_violence_per_10k,theft_per_10k,violence_per_10k,streetlights_per_10k,crime_per_streetlight
종로구,2765,2,5,209,1183,1366,10,72166,383.14,0.277,0.693,28.96,163.93,189.29,1.39,276.5
중구,2955,5,5,177,1398,1370,43,64995,454.65,0.769,0.769,27.23,215.09,210.79,6.62,68.72
용산구,3322,10,4,267,1082,1959,1511,103241,321.77,0.969,0.387,25.86,104.8,189.75,146.36,2.2
성동구,2117,5,3,114,966,1029,1591,131953,160.44,0.379,0.227,8.64,73.21,77.98,120.57,1.33
광진구,2870,2,6,235,1320,1307,1335,169931,168.89,0.118,0.353,13.83,77.68,76.91,78.56,2.15
동대문구,3216,7,4,125,1617,1463,495,172840,186.07,0.405,0.231,7.23,93.55,84.64,28.64,6.5
중랑구,3169,5,2,143,1437,1582,738,188651,167.98,0.265,0.106,7.58,76.17,83.86,39.12,4.29
성북구,2184,3,1,146,884,1150,544,196485,111.15,0.153,0.051,7.43,44.99,58.53,27.69,4.01
강북구,2289,6,0,142,970,1171,0,143063,160.0,0.419,0.0,9.93,67.8,81.85,0.0,
도봉구,1741,7,0,73,800,861,65,138759,125.47,0.504,0.0,5.26,57.65,62.05,4.68,26.78
노원구,3101,7,3,146,1508,1437,644,217743,142.42,0.321,0.138,6.71,69.26,66.0,29.58,4.82
은평구,3217,9,1,132,1517,1558,6,215305,149.42,0.418,0.046,6.13,70.46,72.36,0.28,536.17
서대문구,2054,3,0,131,1014,906,381,146221,140.47,0.205,0.0,8.96,69.35,61.96,26.06,5.39
마포구,3891,4,4,503,1471,1909,1951,181135,214.81,0.221,0.221,27.77,81.21,105.39,107.71,1.99
양천구,3000,4,1,109,1518,1368,149,180209,166.47,0.222,0.055,6.05,84.24,75.91,8.27,20.13
강서구,4008,5,6,271,1670,2056,1253,273911,146.32,0.183,0.219,9.89,60.97,75.06,45.74,3.2
구로구,3378,7,0,186,1572,1613,344,183891,183.7,0.381,0.0,10.11,85.49,87.72,18.71,9.82
금천구,2017,7,3,129,886,992,35,121075,166.59,0.578,0.248,10.65,73.18,81.93,2.89,57.63
영등포구,4167,11,6,284,1791,2075,1880,192199,216.81,0.572,0.312,14.78,93.18,107.96,97.82,2.22
동작구,2454,1,1,180,1085,1187,656,186950,131.27,0.053,0.053,9.63,58.04,63.49,35.09,3.74
관악구,4485,4,3,338,1971,2169,97,285963,156.84,0.14,0.105,11.82,68.93,75.85,3.39,46.24
서초구,3788,10,5,364,1585,1824,884,170681,221.93,0.586,0.293,21.33,92.86,106.87,51.79,4.29
강남구,6107,16,17,640,2097,3337,1879,245094,249.17,0.653,0.694,26.11,85.56,136.15,76.66,3.25
송파구,5174,6,3,315,2502,2348,1659,287017,180.27,0.209,0.105,10.97,87.17,81.81,57.8,3.12
강동구,3350,3,4,164,1662,1517,1141,212585,157.58,0.141,0.188,7.71,78.18,71.36,53.67,2.94
